I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.127,-0.038,0.056,0.008,-0.031,0.025,-0.004,-0.051,-0.078,0.032,-0.04,-0.063
-0.129,-0.035,0.055,0.011,-0.026,0.03,-0.004,-0.051,-0.073,0.032,-0.04,-0.061
-0.129,-0.033,0.055,0.009,-0.021,0.035,-0.004,-0.049,-0.077,0.03,-0.04,-0.06
-0.129,-0.03,0.056,0.007,-0.024,0.034,-0.004,-0.047,-0.082,0.028,-0.04,-0.06
-0.13,-0.027,0.058,0.004,-0.026,0.031,-0.004,-0.047,-0.086,0.03,-0.04,-0.059
-0.133,-0.025,0.061,-0.001,-0.03,0.031,-0.007,-0.047,-0.089,0.033,-0.037,-0.057
-0.135,-0.024,0.068,-0.006,-0.035,0.036,-0.012,-0.045,-0.091,0.037,-0.035,-0.054
-0.14,-0.024,0.078,-0.008,-0.04,0.041,-0.017,-0.043,-0.092,0.042,-0.032,-0.055
-0.145,-0.024,0.087,-0.008,-0.038,0.048,-0.017,-0.04,-0.092,0.047,-0.03,-0.058
-0.147,-0.017,0.084,-0.009,-0.036,0.055,-0.017,-0.04,-0.091,0.054,-0.028,-0.06
-0.142,-0.009,0.082,-0.014,-0.035,0.062,-0.015,-0.04,-0.089,0.062,-0.033,-0.06
-0.137,-0.002,0.082,-0.019,-0.037,0.064,-0.01,-0.041,-0.086,0.068,-0.038,-0.06
-0.137,0.006,0.084,-0.024,-0.04,0.067,-0.005,-0.044,-0.084,0.073,-0.036,-0.057
-0.14,0.013,0.087,-0.029,-0.042,0.068,-0.012,-0.046,-0.081,0.078,-0.029,-0.052
-0.142,0.023,0.094,-0.034,-0.045,0.068,-0.022,-0.047,-0.079,0.083,-0.021,-0.047
-0.145,0.033,0.102,-0.036,-0.047,0.069,-0.029,-0.047,-0.076,0.088,-0.024,-0.052
-0.147,0.045,0.107,-0.039,-0.05,0.076,-0.027,-0.047,-0.074,0.09,-0.026,-0.057
-0.148,0.06,0.11,-0.041,-0.052,0.084,-0.024,-0.047,-0.073,0.085,-0.025,-0.056
-0.148,0.075,0.112,-0.044,-0.051,0.091,-0.02,-0.047,-0.073,0.08,-0.02,-0.049
-0.148,0.084,0.119,-0.046,-0.049,0.099,-0.015,-0.051,-0.073,0.087,-0.015,-0.041
-0.143,0.092,0.126,-0.051,-0.046,0.106,-0.011,-0.056,-0.073,0.097,-0.006,-0.036
-0.139,0.101,0.135,-0.056,-0.044,0.111,-0.016,-0.058,-0.073,0.106,0.004,-0.031
-0.138,0.116,0.148,-0.061,-0.041,0.116,-0.021,-0.053,-0.073,0.114,0.009,-0.032
-0.143,0.131,0.16,-0.066,-0.043,0.12,-0.022,-0.048,-0.073,0.121,0.004,-0.042
-0.148,0.146,0.176,-0.071,-0.048,0.123,-0.02,-0.047,-0.073,0.125,-0.001,-0.052
-0.153,0.161,0.194,-0.074,-0.053,0.125,-0.017,-0.047,-0.068,0.128,0.002,-0.049
-0.158,0.175,0.209,-0.076,-0.056,0.128,-0.01,-0.046,-0.063,0.131,0.007,-0.044
-0.159,0.183,0.211,-0.08,-0.058,0.13,-0.002,-0.044,-0.059,0.141,0.012,-0.037
-0.151,0.19,0.213,-0.085,-0.06,0.135,0.002,-0.041,-0.057,0.151,0.017,-0.025
-0.144,0.193,0.226,-0.09,-0.06,0.142,0.002,-0.039,-0.054,0.158,0.022,-0.012
-0.148,0.193,0.246,-0.097,-0.06,0.15,0.002,-0.036,-0.054,0.163,0.023,-0.007
-0.155,0.193,0.266,-0.104,-0.062,0.155,0.002,-0.034,-0.054,0.168,0.023,-0.005
-0.159,0.191,0.271,-0.11,-0.064,0.16,0.002,-0.034,-0.052,0.176,0.023,-0.004
-0.149,0.188,0.276,-0.11,-0.065,0.165,0.002,-0.034,-0.042,0.183,0.023,-0.012
-0.139,0.178,0.282,-0.11,-0.063,0.17,0.002,-0.034,-0.032,0.188,0.023,-0.019
-0.134,0.161,0.289,-0.112,-0.06,0.175,0.002,-0.034,-0.023,0.191,0.028,-0.018
-0.132,0.143,0.297,-0.114,-0.058,0.178,-0.002,-0.034,-0.016,0.193,0.036,-0.013
-0.13,0.116,0.306,-0.116,-0.055,0.181,-0.007,-0.032,-0.009,0.208,0.044,-0.008
-0.137,0.088,0.316,-0.116,-0.053,0.183,-0.011,-0.029,-0.004,0.223,0.059,-0.003
-0.145,0.063,0.322,-0.116,-0.053,0.186,-0.014,-0.028,0.001,0.234,0.074,0.002
-0.15,0.04,0.32,-0.116,-0.053,0.188,-0.016,-0.028,0.005,0.239,0.081,0.007
-0.152,0.017,0.317,-0.116,-0.055,0.189,-0.025,-0.028,0.008,0.244,0.081,0.012
-0.155,-0.001,0.303,-0.117,-0.057,0.189,-0.038,-0.034,0.01,0.263,0.081,0.017
-0.157,-0.018,0.286,-0.119,-0.059,0.189,-0.05,-0.041,0.013,0.286,0.081,0.017
-0.16,-0.033,0.268,-0.122,-0.057,0.189,-0.063,-0.05,0.015,0.305,0.081,0.017
-0.163,-0.043,0.248,-0.123,-0.054,0.189,-0.075,-0.06,0.018,0.315,0.086,0.017
-0.168,-0.053,0.228,-0.123,-0.056,0.191,-0.088,-0.07,0.02,0.325,0.096,0.017
-0.173,-0.062,0.215,-0.123,-0.061,0.193,-0.1,-0.076,0.023,0.337,0.106,0.017
-0.184,-0.069,0.205,-0.116,-0.066,0.195,-0.113,-0.081,0.025,0.349,0.118,0.024
-0.196,-0.077,0.195,-0.108,-0.068,0.193,-0.12,-0.086,0.028,0.362,0.131,0.031
-0.21,-0.084,0.19,-0.101,-0.071,0.19,-0.128,-0.094,0.029,0.377,0.141,0.039
-0.224,-0.092,0.185,-0.093,-0.068,0.188,-0.131,-0.101,0.026,0.392,0.149,0.046
-0.239,-0.096,0.178,-0.086,-0.058,0.185,-0.128,-0.107,0.024,0.409,0.156,0.054
-0.244,-0.098,0.168,-0.082,-0.048,0.182,-0.126,-0.112,0.014,0.426,0.166,0.057
-0.244,-0.101,0.158,-0.08,-0.047,0.18,-0.117,-0.117,0.002,0.444,0.176,0.06
-0.244,-0.103,0.152,-0.076,-0.047,0.177,-0.107,-0.117,-0.01,0.461,0.184,0.062
-0.244,-0.106,0.147,-0.069,-0.048,0.17,-0.097,-0.117,-0.015,0.479,0.186,0.065
-0.244,-0.105,0.141,-0.061,-0.05,0.157,-0.087,-0.116,-0.019,0.496,0.189,0.067
-0.244,-0.103,0.131,-0.053,-0.053,0.145,-0.077,-0.113,-0.024,0.514,0.197,0.071
-0.244,-0.1,0.121,-0.046,-0.049,0.14,-0.069,-0.111,-0.029,0.531,0.207,0.076
-0.244,-0.103,0.117,-0.039,-0.044,0.134,-0.061,-0.101,-0.034,0.554,0.218,0.082
-0.242,-0.105,0.114,-0.034,-0.039,0.127,-0.053,-0.091,-0.044,0.576,0.233,0.092
-0.239,-0.108,0.113,-0.029,-0.034,0.117,-0.043,-0.082,-0.054,0.594,0.248,0.102
-0.24,-0.11,0.115,-0.026,-0.029,0.107,-0.033,-0.074,-0.065,0.604,0.256,0.108
-0.245,-0.113,0.118,-0.023,-0.031,0.095,-0.03,-0.067,-0.078,0.614,0.261,0.11
-0.25,-0.113,0.122,-0.02,-0.036,0.083,-0.03,-0.064,-0.09,0.619,0.265,0.112
-0.255,-0.113,0.127,-0.012,-0.04,0.074,-0.03,-0.061,-0.094,0.624,0.26,0.11
-0.26,-0.112,0.132,-0.005,-0.038,0.074,-0.03,-0.058,-0.097,0.631,0.255,0.107
-0.265,-0.109,0.137,0.0,-0.035,0.074,-0.03,-0.053,-0.098,0.641,0.259,0.109
-0.27,-0.107,0.142,0.002,-0.03,0.068,-0.028,-0.048,-0.098,0.651,0.269,0.114
-0.275,-0.107,0.14,0.005,-0.022,0.061,-0.026,-0.045,-0.098,0.655,0.279,0.119
-0.274,-0.107,0.133,0.005,-0.015,0.053,-0.023,-0.042,-0.1,0.657,0.291,0.129
-0.272,-0.1,0.125,0.005,-0.017,0.046,-0.021,-0.041,-0.103,0.658,0.304,0.139
-0.269,-0.079,0.125,0.005,-0.02,0.038,-0.019,-0.043,-0.105,0.653,0.31,0.145
-0.264,-0.059,0.125,0.005,-0.02,0.034,-0.017,-0.046,-0.108,0.648,0.307,0.148
-0.259,-0.003,0.126,0.005,-0.018,0.031,-0.017,-0.048,-0.11,0.647,0.304,0.15
-0.257,0.063,0.129,0.007,-0.015,0.029,-0.017,-0.051,-0.109,0.647,0.3,0.148
-0.257,0.134,0.131,0.01,-0.013,0.026,-0.017,-0.053,-0.107,0.645,0.295,0.146
-0.257,0.222,0.132,0.01,-0.01,0.024,-0.017,-0.048,-0.104,0.63,0.292,0.143
-0.26,0.31,0.132,0.008,-0.008,0.023,-0.016,-0.042,-0.102,0.615,0.292,0.141
-0.262,0.396,0.137,0.005,-0.005,0.023,-0.014,-0.037,-0.099,0.593,0.292,0.138
-0.265,0.481,0.157,0.005,-0.003,0.023,-0.011,-0.032,-0.101,0.565,0.283,0.136
-0.267,0.562,0.176,0.005,-0.004,0.02,-0.011,-0.028,-0.106,0.537,0.273,0.133
-0.27,0.622,0.219,0.006,-0.006,0.018,-0.011,-0.033,-0.111,0.502,0.261,0.13
-0.255,0.682,0.271,0.011,-0.008,0.018,-0.011,-0.038,-0.106,0.467,0.244,0.125
-0.241,0.704,0.324,0.016,-0.005,0.021,-0.014,-0.038,-0.101,0.434,0.226,0.12
-0.222,0.704,0.381,0.016,-0.003,0.023,-0.016,-0.033,-0.1,0.401,0.208,0.113
-0.197,0.694,0.438,0.013,-0.004,0.02,-0.015,-0.028,-0.105,0.369,0.191,0.106
-0.172,0.586,0.498,0.011,-0.006,0.018,-0.013,-0.032,-0.11,0.329,0.174,0.098
-0.145,0.478,0.56,0.008,-0.008,0.014,-0.009,-0.037,-0.111,0.289,0.159,0.091
-0.118,0.367,0.623,0.006,-0.006,0.009,0.014,-0.04,-0.111,0.253,0.144,0.083
-0.095,0.254,0.675,0.005,-0.003,0.004,0.036,-0.04,-0.102,0.223,0.125,0.074
-0.085,0.142,0.727,0.005,-0.001,0.008,0.064,-0.04,-0.07,0.193,0.105,0.064
-0.075,0.097,0.758,0.005,0.002,0.014,0.097,-0.016,-0.038,0.171,0.086,0.054
-0.075,0.051,0.761,0.005,0.004,0.017,0.129,0.014,0.03,0.151,0.074,0.044
-0.08,0.025,0.763,0.005,0.002,0.017,0.1,0.052,0.112,0.132,0.061,0.034
-0.089,0.02,0.697,0.005,-0.001,0.017,0.07,0.112,0.199,0.117,0.051,0.027
-0.119,0.015,0.62,0.005,-0.004,0.012,0.006,0.172,0.313,0.102,0.044,0.022
-0.149,0.033,0.543,0.005,-0.009,0.007,-0.104,0.191,0.428,0.085,0.036,0.017
-0.181,0.053,0.466,0.007,-0.014,0.005,-0.213,0.194,0.52,0.068,0.021,0.012
-0.216,0.069,0.389,0.01,-0.01,0.007,-0.354,0.184,0.594,0.052,0.006,0.007
-0.251,0.08,0.344,0.011,-0.005,0.01,-0.499,0.111,0.668,0.047,-0.002,0.002
-0.263,0.09,0.312,0.011,0.0,0.012,-0.633,0.039,0.706,0.042,-0.002,-0.003
-0.276,0.074,0.286,0.011,0.005,0.015,-0.745,-0.055,0.743,0.037,-0.002,-0.008
-0.287,0.054,0.293,0.011,0.009,0.016,-0.858,-0.163,0.775,0.032,-0.009,-0.007
-0.297,0.034,0.301,0.011,0.011,0.011,-0.929,-0.27,0.8,0.028,-0.016,-0.004
-0.307,0.014,0.314,0.011,0.011,0.005,-0.986,-0.37,0.825,0.03,-0.02,-0.003
-0.31,-0.006,0.332,0.011,0.011,0.002,-1.03,-0.47,0.82,0.033,-0.018,-0.003
-0.313,-0.018,0.349,0.011,0.011,0.0,-1.02,-0.55,0.813,0.033,-0.015,-0.003
-0.314,-0.028,0.359,0.009,0.011,-0.003,-1.01,-0.61,0.765,0.03,-0.007,0.0
-0.311,-0.037,0.369,0.007,0.011,-0.005,-0.961,-0.67,0.635,0.028,0.003,0.002
-0.309,-0.042,0.364,0.004,0.011,-0.008,-0.891,-0.689,0.506,0.023,0.011,0.003
-0.308,-0.048,0.341,0.002,0.01,-0.006,-0.82,-0.707,0.272,0.018,0.014,0.001
-0.308,-0.051,0.319,-0.001,0.008,-0.001,-0.738,-0.721,0.008,0.014,0.016,-0.002
-0.307,-0.053,0.297,0.0,0.005,0.004,-0.656,-0.731,-0.238,0.011,0.013,-0.004
-0.302,-0.055,0.274,0.003,0.004,0.007,-0.58,-0.741,-0.415,0.009,0.008,-0.007
-0.297,-0.053,0.256,0.005,0.004,0.009,-0.51,-0.719,-0.592,0.006,0.004,-0.008
-0.295,-0.05,0.246,0.008,0.004,0.01,-0.44,-0.691,-0.623,0.004,0.004,-0.003
-0.295,-0.051,0.236,0.01,0.004,0.01,-0.394,-0.654,-0.575,0.002,0.004,0.002
-0.295,-0.053,0.228,0.01,0.004,0.01,-0.349,-0.594,-0.525,0.002,0.003,0.004
-0.295,-0.056,0.221,0.007,0.005,0.008,-0.305,-0.534,-0.445,0.002,0.0,0.004
-0.295,-0.056,0.214,0.005,0.008,0.005,-0.26,-0.477,-0.366,0.004,-0.002,0.004
-0.297,-0.056,0.214,0.005,0.01,0.004,-0.215,-0.422,-0.3,0.006,0.001,0.004
-0.299,-0.053,0.214,0.005,0.011,0.004,-0.178,-0.369,-0.248,0.009,0.003,0.004
-0.301,-0.048,0.219,0.006,0.011,0.004,-0.143,-0.321,-0.196,0.011,0.004,0.005
-0.304,-0.043,0.227,0.009,0.011,0.004,-0.111,-0.274,-0.165,0.014,0.004,0.008
-0.306,-0.048,0.233,0.011,0.011,0.004,-0.083,-0.23,-0.135,0.012,0.004,0.01
-0.306,-0.053,0.226,0.009,0.011,0.003,-0.056,-0.187,-0.11,0.007,0.002,0.015
-0.301,-0.057,0.218,0.006,0.013,0.0,-0.041,-0.146,-0.093,0.002,-0.001,0.02
-0.296,-0.059,0.214,0.005,0.015,-0.002,-0.032,-0.116,-0.075,0.005,0.0,0.023
-0.297,-0.062,0.214,0.005,0.017,-0.003,-0.022,-0.086,-0.069,0.007,0.005,0.023
-0.3,-0.06,0.214,0.005,0.014,-0.003,-0.012,-0.064,-0.064,0.008,0.01,0.023
-0.303,-0.057,0.224,0.007,0.012,-0.003,-0.002,-0.049,-0.058,0.008,0.015,0.018
-0.308,-0.056,0.234,0.01,0.009,-0.006,0.005,-0.034,-0.05,0.008,0.02,0.013
-0.313,-0.056,0.237,0.011,0.007,-0.008,0.01,-0.024,-0.043,0.008,0.023,0.01
-0.311,-0.056,0.23,0.011,0.005,-0.007,0.015,-0.014,-0.037,0.008,0.023,0.01
-0.306,-0.052,0.222,0.011,0.007,-0.005,0.018,-0.005,-0.032,0.008,0.023,0.01
-0.301,-0.047,0.219,0.009,0.01,-0.002,0.02,0.002,-0.028,0.008,0.026,0.012
-0.299,-0.042,0.216,0.007,0.011,0.0,0.021,0.01,-0.025,0.008,0.028,0.015
-0.296,-0.04,0.214,0.005,0.011,0.003,0.021,0.013,-0.023,0.008,0.031,0.017
-0.295,-0.037,0.214,0.005,0.011,0.002,0.021,0.015,-0.02,0.008,0.033,0.02
-0.295,-0.04,0.214,0.005,0.008,0.0,0.024,0.017,-0.018,0.009,0.036,0.022
-0.295,-0.045,0.213,0.007,0.006,-0.003,0.026,0.017,-0.015,0.012,0.038,0.027
-0.293,-0.048,0.21,0.009,0.005,-0.003,0.031,0.017,-0.013,0.014,0.041,0.032
-0.29,-0.043,0.208,0.011,0.008,-0.003,0.038,0.019,-0.01,0.019,0.044,0.036
-0.286,-0.038,0.205,0.011,0.01,-0.003,0.046,0.022,-0.008,0.024,0.051,0.039
-0.281,-0.033,0.203,0.011,0.013,-0.003,0.049,0.025,-0.005,0.026,0.059,0.041
-0.276,-0.028,0.203,0.011,0.015,-0.003,0.051,0.03,-0.003,0.021,0.063,0.044
-0.274,-0.024,0.206,0.011,0.016,-0.003,0.052,0.035,0.0,0.016,0.066,0.046
-0.271,-0.021,0.208,0.011,0.014,-0.003,0.05,0.034,0.002,0.017,0.068,0.049
-0.27,-0.019,0.203,0.011,0.011,-0.004,0.047,0.032,0.004,0.019,0.071,0.049
-0.27,-0.016,0.198,0.011,0.013,-0.006,0.049,0.03,0.004,0.022,0.073,0.049
-0.27,-0.013,0.195,0.01,0.015,-0.009,0.051,0.033,0.004,0.024,0.077,0.05
-0.268,-0.011,0.195,0.007,0.017,-0.007,0.054,0.035,0.01,0.027,0.082,0.052
-0.265,-0.011,0.195,0.005,0.017,-0.004,0.056,0.041,0.017,0.029,0.087,0.055
-0.263,-0.011,0.201,0.005,0.017,-0.004,0.059,0.048,0.025,0.032,0.09,0.057
-0.263,-0.009,0.209,0.005,0.016,-0.006,0.058,0.055,0.032,0.034,0.092,0.06
-0.263,-0.004,0.216,0.006,0.013,-0.009,0.055,0.058,0.04,0.034,0.095,0.061
-0.265,0.001,0.221,0.008,0.011,-0.011,0.054,0.06,0.042,0.034,0.097,0.061
-0.267,0.006,0.226,0.011,0.011,-0.014,0.058,0.063,0.042,0.034,0.1,0.061
-0.269,0.011,0.224,0.011,0.011,-0.014,0.063,0.065,0.043,0.034,0.102,0.064
-0.261,0.015,0.219,0.011,0.012,-0.012,0.067,0.068,0.048,0.034,0.105,0.066
-0.254,0.018,0.214,0.011,0.015,-0.009,0.07,0.073,0.053,0.036,0.107,0.069
-0.248,0.021,0.209,0.011,0.017,-0.007,0.072,0.078,0.058,0.039,0.11,0.071
-0.243,0.021,0.204,0.011,0.017,-0.004,0.065,0.08,0.063,0.039,0.112,0.074
-0.238,0.021,0.203,0.011,0.017,-0.003,0.058,0.077,0.068,0.037,0.111,0.076
-0.235,0.022,0.206,0.011,0.016,-0.006,0.054,0.075,0.073,0.034,0.108,0.079
-0.233,0.024,0.208,0.011,0.014,-0.008,0.057,0.075,0.078,0.034,0.107,0.081
-0.229,0.027,0.208,0.011,0.011,-0.009,0.059,0.075,0.084,0.034,0.11,0.084
-0.224,0.033,0.208,0.011,0.011,-0.009,0.062,0.076,0.091,0.034,0.112,0.086
-0.219,0.04,0.207,0.011,0.011,-0.008,0.064,0.081,0.099,0.034,0.115,0.087
-0.214,0.048,0.205,0.011,0.011,-0.006,0.066,0.086,0.106,0.034,0.117,0.087
-0.209,0.058,0.202,0.012,0.014,-0.003,0.066,0.087,0.113,0.034,0.119,0.087
-0.204,0.068,0.2,0.014,0.016,-0.003,0.066,0.087,0.121,0.034,0.119,0.087
-0.199,0.078,0.197,0.017,0.015,-0.003,0.068,0.089,0.128,0.034,0.119,0.087
-0.194,0.088,0.195,0.018,0.013,-0.003,0.07,0.096,0.136,0.034,0.119,0.087
-0.193,0.098,0.192,0.018,0.012,-0.005,0.072,0.104,0.138,0.034,0.119,0.087
-0.193,0.106,0.19,0.017,0.017,-0.008,0.072,0.113,0.138,0.034,0.119,0.087
-0.192,0.113,0.191,0.015,0.022,-0.009,0.072,0.123,0.14,0.034,0.122,0.087
-0.184,0.119,0.193,0.012,0.02,-0.009,0.072,0.132,0.15,0.034,0.124,0.087
-0.177,0.124,0.196,0.011,0.015,-0.009,0.072,0.132,0.16,0.034,0.128,0.087
-0.171,0.129,0.201,0.011,0.011,-0.014,0.072,0.132,0.17,0.034,0.133,0.087
-0.166,0.135,0.206,0.011,0.011,-0.019,0.075,0.133,0.179,0.034,0.138,0.087
-0.161,0.14,0.21,0.011,0.011,-0.019,0.077,0.136,0.19,0.034,0.141,0.087
-0.156,0.147,0.212,0.011,0.012,-0.014,0.079,0.138,0.202,0.034,0.143,0.087
-0.151,0.157,0.215,0.011,0.014,-0.009,0.079,0.146,0.215,0.034,0.145,0.087
-0.145,0.167,0.217,0.011,0.017,-0.007,0.079,0.153,0.227,0.034,0.145,0.087
-0.137,0.175,0.22,0.011,0.019,-0.004,0.079,0.161,0.239,0.033,0.145,0.087
-0.13,0.182,0.22,0.011,0.022,-0.003,0.079,0.168,0.252,0.03,0.147,0.087
-0.122,0.19,0.217,0.011,0.022,-0.006,0.081,0.176,0.262,0.028,0.149,0.087
-0.115,0.197,0.215,0.01,0.02,-0.008,0.086,0.181,0.272,0.025,0.149,0.087
-0.109,0.205,0.217,0.008,0.017,-0.011,0.091,0.186,0.284,0.023,0.144,0.087
-0.107,0.21,0.219,0.005,0.015,-0.014,0.091,0.191,0.299,0.022,0.139,0.087
-0.104,0.215,0.222,0.003,0.012,-0.015,0.091,0.196,0.314,0.025,0.142,0.089
-0.1,0.22,0.224,0.0,0.011,-0.012,0.092,0.201,0.333,0.027,0.147,0.091
-0.095,0.225,0.227,-0.001,0.011,-0.01,0.095,0.206,0.353,0.026,0.15,0.094
-0.089,0.23,0.229,0.002,0.011,-0.003,0.097,0.211,0.373,0.023,0.145,0.096
-0.082,0.233,0.232,0.004,0.011,0.004,0.098,0.217,0.392,0.021,0.14,0.099
-0.074,0.236,0.234,0.007,0.011,0.009,0.098,0.227,0.412,0.018,0.138,0.1
-0.068,0.238,0.234,0.009,0.01,0.004,0.098,0.237,0.432,0.016,0.138,0.1
-0.063,0.238,0.234,0.011,0.008,-0.001,0.101,0.249,0.452,0.013,0.138,0.099
-0.059,0.238,0.237,0.011,0.005,-0.004,0.103,0.261,0.472,0.011,0.138,0.097
-0.056,0.241,0.242,0.011,0.004,-0.007,0.107,0.273,0.492,0.008,0.138,0.094
-0.054,0.246,0.247,0.011,0.004,-0.008,0.112,0.281,0.512,0.006,0.14,0.092
-0.051,0.251,0.249,0.011,0.004,-0.003,0.117,0.288,0.532,0.003,0.142,0.089
-0.049,0.251,0.252,0.011,0.004,0.002,0.117,0.296,0.552,0.001,0.145,0.087
-0.046,0.251,0.252,0.011,0.004,0.004,0.117,0.303,0.572,-0.002,0.145,0.087
-0.044,0.249,0.249,0.011,0.004,0.004,0.118,0.311,0.594,-0.004,0.145,0.087
-0.041,0.247,0.247,0.011,0.004,0.004,0.121,0.321,0.617,-0.004,0.145,0.087
-0.038,0.244,0.246,0.011,0.004,0.001,0.123,0.331,0.638,-0.004,0.145,0.087
-0.033,0.237,0.246,0.011,0.009,-0.001,0.126,0.341,0.658,-0.004,0.145,0.087
-0.028,0.229,0.246,0.009,0.014,-0.001,0.128,0.351,0.678,-0.004,0.147,0.087
-0.023,0.22,0.243,0.006,0.018,0.001,0.131,0.361,0.693,-0.004,0.15,0.087
-0.018,0.21,0.241,0.004,0.021,0.004,0.133,0.366,0.708,-0.004,0.151,0.088
-0.014,0.2,0.24,0.001,0.023,-0.003,0.136,0.371,0.721,-0.004,0.151,0.09
-0.014,0.188,0.24,-0.001,0.017,-0.011,0.134,0.376,0.729,-0.004,0.151,0.093
-0.014,0.175,0.239,-0.004,0.01,-0.015,0.131,0.381,0.736,-0.004,0.149,0.089
-0.012,0.162,0.234,-0.006,0.002,-0.015,0.129,0.386,0.743,-0.004,0.146,0.084
-0.01,0.147,0.229,-0.01,-0.005,-0.015,0.127,0.389,0.751,-0.004,0.145,0.08
-0.008,0.132,0.221,-0.015,-0.013,-0.004,0.124,0.392,0.757,-0.004,0.145,0.077
-0.005,0.121,0.211,-0.02,-0.015,0.008,0.123,0.394,0.76,-0.005,0.145,0.075
-0.003,0.111,0.201,-0.031,-0.015,0.022,0.123,0.394,0.762,-0.007,0.143,0.074
-0.005,0.101,0.196,-0.043,-0.016,0.037,0.122,0.394,0.765,-0.01,0.14,0.074
-0.01,0.091,0.191,-0.054,-0.024,0.052,0.117,0.395,0.767,-0.014,0.137,0.074
-0.015,0.081,0.182,-0.059,-0.031,0.063,0.112,0.398,0.769,-0.019,0.132,0.074
-0.02,0.071,0.17,-0.064,-0.039,0.073,0.107,0.399,0.759,-0.024,0.127,0.074
-0.025,0.061,0.158,-0.065,-0.046,0.084,0.102,0.391,0.749,-0.026,0.124,0.074
-0.028,0.051,0.148,-0.065,-0.053,0.096,0.097,0.384,0.738,-0.029,0.121,0.074
-0.031,0.041,0.138,-0.067,-0.048,0.109,0.09,0.372,0.725,-0.03,0.119,0.074
-0.033,0.031,0.126,-0.074,-0.043,0.118,0.082,0.357,0.713,-0.03,0.119,0.074
-0.029,0.024,0.111,-0.082,-0.043,0.125,0.074,0.341,0.686,-0.03,0.119,0.074
-0.024,0.019,0.096,-0.092,-0.048,0.133,0.064,0.321,0.659,-0.03,0.119,0.074
-0.02,0.015,0.087,-0.105,-0.053,0.14,0.054,0.301,0.628,-0.03,0.119,0.074
-0.017,0.02,0.08,-0.117,-0.058,0.148,0.048,0.283,0.59,-0.029,0.119,0.074
-0.015,0.025,0.07,-0.122,-0.063,0.16,0.043,0.265,0.553,-0.026,0.122,0.077
-0.01,0.027,0.052,-0.127,-0.067,0.175,0.038,0.248,0.507,-0.024,0.124,0.079
-0.005,0.027,0.035,-0.129,-0.069,0.19,0.033,0.225,0.46,-0.016,0.13,0.083
0.0,0.027,0.019,-0.129,-0.072,0.197,0.028,0.203,0.415,-0.009,0.137,0.088
0.005,0.022,0.004,-0.129,-0.064,0.205,0.019,0.18,0.375,-0.002,0.145,0.093
0.01,0.017,-0.01,-0.127,-0.054,0.211,0.009,0.158,0.335,0.003,0.15,0.101
0.009,0.015,-0.014,-0.124,-0.043,0.216,0.001,0.135,0.297,0.008,0.155,0.108
0.007,0.015,-0.019,-0.12,-0.031,0.221,-0.004,0.119,0.259,0.008,0.157,0.112
0.006,0.015,-0.023,-0.112,-0.018,0.205,-0.009,0.104,0.223,0.008,0.157,0.112
0.013,0.012,-0.026,-0.105,-0.008,0.19,-0.011,0.09,0.193,0.009,0.157,0.112
0.021,0.01,-0.028,-0.09,0.002,0.173,-0.011,0.077,0.163,0.012,0.16,0.117
0.027,0.01,-0.033,-0.075,0.011,0.153,-0.01,0.065,0.136,0.014,0.162,0.122
0.032,0.015,-0.038,-0.06,0.014,0.133,-0.008,0.05,0.111,0.017,0.166,0.127
0.037,0.02,-0.042,-0.045,0.016,0.113,-0.005,0.035,0.087,0.019,0.171,0.132
0.039,0.021,-0.044,-0.03,0.016,0.093,-0.007,0.022,0.072,0.022,0.176,0.137
0.042,0.021,-0.047,-0.017,0.013,0.073,-0.012,0.017,0.057,0.024,0.179,0.14
0.043,0.021,-0.049,-0.005,0.011,0.056,-0.017,0.012,0.043,0.027,0.181,0.142
0.043,0.021,-0.052,0.007,0.011,0.038,-0.017,0.009,0.03,0.028,0.183,0.145
0.043,0.021,-0.055,0.017,0.011,0.025,-0.017,0.007,0.018,0.028,0.183,0.147
0.045,0.021,-0.06,0.027,0.014,0.012,-0.015,0.004,0.008,0.027,0.183,0.15
0.048,0.021,-0.065,0.027,0.022,0.001,-0.01,0.002,-0.002,0.022,0.183,0.151
0.049,0.022,-0.063,0.022,0.029,-0.009,-0.005,-0.001,-0.01,0.017,0.183,0.151
0.049,0.024,-0.058,0.018,0.032,-0.019,-0.004,-0.005,-0.012,0.012,0.183,0.151
0.049,0.027,-0.054,0.023,0.035,-0.029,-0.004,-0.01,-0.015,0.007,0.18,0.151
0.051,0.026,-0.056,0.028,0.038,-0.04,-0.005,-0.015,-0.021,0.002,0.178,0.151
0.054,0.023,-0.059,0.032,0.043,-0.048,-0.008,-0.017,-0.028,-0.005,0.172,0.148
0.057,0.021,-0.061,0.034,0.048,-0.05,-0.01,-0.02,-0.034,-0.013,0.164,0.143
0.062,0.018,-0.064,0.037,0.053,-0.053,-0.011,-0.02,-0.034,-0.02,0.157,0.137
0.067,0.016,-0.066,0.039,0.058,-0.059,-0.011,-0.018,-0.034,-0.028,0.147,0.127
0.07,0.016,-0.071,0.042,0.061,-0.066,-0.011,-0.015,-0.038,-0.035,0.137,0.117
0.073,0.019,-0.076,0.042,0.059,-0.074,-0.014,-0.019,-0.043,-0.043,0.125,0.106
