I,II,III,aVR,aVF,aVL,V1,V2,V3,V4,V5,V6
0.09,0.105,0.0,-0.1,0.045,0.05,0.04,0.32,0.475,0.45,0.105,0.02
0.09,0.135,0.03,-0.115,0.075,0.035,0.025,0.335,0.505,0.465,0.09,0.005
0.095,0.12,0.01,-0.11,0.06,0.05,0.03,0.35,0.53,0.485,0.1,0.01
0.095,0.13,0.02,-0.115,0.07,0.045,0.035,0.36,0.55,0.505,0.11,0.015
0.12,0.135,0.0,-0.13,0.06,0.065,0.035,0.375,0.57,0.525,0.105,0.025
0.1,0.125,0.01,-0.115,0.06,0.05,0.04,0.385,0.6,0.53,0.16,0.035
0.1,0.135,0.02,-0.12,0.07,0.045,0.04,0.415,0.6,0.565,0.155,0.065
0.12,0.165,0.03,-0.14,0.09,0.05,0.045,0.385,0.625,0.59,0.14,0.05
0.12,0.175,0.04,-0.15,0.1,0.045,0.045,0.395,0.64,0.59,0.175,0.075
0.105,0.2,0.08,-0.155,0.135,0.02,0.05,0.425,0.66,0.6,0.205,0.065
0.11,0.19,0.065,-0.15,0.12,0.03,0.07,0.435,0.675,0.635,0.215,0.085
0.13,0.215,0.07,-0.175,0.135,0.035,0.055,0.44,0.65,0.63,0.2,0.07
0.13,0.225,0.08,-0.18,0.14,0.03,0.035,0.425,0.68,0.66,0.19,0.075
0.11,0.21,0.085,-0.16,0.14,0.02,0.055,0.41,0.69,0.67,0.215,0.08
0.11,0.24,0.115,-0.175,0.17,0.005,0.055,0.43,0.695,0.685,0.245,0.105
0.115,0.245,0.115,-0.18,0.175,0.005,0.035,0.435,0.705,0.675,0.25,0.11
0.12,0.25,0.115,-0.185,0.175,0.01,0.035,0.44,0.69,0.7,0.235,0.115
0.1,0.235,0.12,-0.17,0.17,-0.005,0.035,0.425,0.69,0.705,0.24,0.135
0.12,0.255,0.12,-0.19,0.18,0.005,0.055,0.45,0.695,0.705,0.245,0.12
0.14,0.26,0.105,-0.2,0.175,0.025,0.04,0.45,0.695,0.685,0.25,0.125
0.12,0.245,0.11,-0.185,0.17,0.01,0.035,0.425,0.69,0.67,0.255,0.125
0.105,0.255,0.135,-0.18,0.19,-0.01,0.03,0.44,0.685,0.67,0.28,0.13
0.125,0.255,0.115,-0.19,0.18,0.01,0.03,0.42,0.68,0.695,0.26,0.13
0.12,0.24,0.105,-0.18,0.165,0.015,0.025,0.43,0.695,0.715,0.245,0.13
0.12,0.26,0.125,-0.19,0.185,0.005,0.02,0.425,0.69,0.69,0.25,0.155
0.14,0.26,0.105,-0.2,0.175,0.025,0.04,0.415,0.675,0.705,0.27,0.155
0.12,0.265,0.13,-0.195,0.19,0.0,0.035,0.425,0.66,0.675,0.27,0.155
0.14,0.265,0.11,-0.205,0.18,0.02,0.03,0.37,0.64,0.66,0.24,0.155
0.135,0.26,0.11,-0.2,0.18,0.02,0.005,0.35,0.615,0.64,0.23,0.13
0.095,0.255,0.14,-0.175,0.195,-0.02,0.015,0.365,0.585,0.615,0.2,0.105
0.11,0.27,0.14,-0.19,0.2,-0.01,0.03,0.345,0.56,0.59,0.19,0.1
0.105,0.245,0.125,-0.175,0.18,-0.005,0.025,0.32,0.525,0.555,0.18,0.115
0.1,0.22,0.105,-0.16,0.155,0.005,0.02,0.295,0.48,0.52,0.205,0.105
0.095,0.23,0.12,-0.165,0.17,-0.005,0.015,0.27,0.435,0.48,0.165,0.1
0.09,0.235,0.13,-0.165,0.175,-0.015,0.005,0.24,0.405,0.4,0.12,0.085
0.085,0.2,0.1,-0.14,0.14,0.0,0.0,0.22,0.36,0.355,0.095,0.07
0.075,0.165,0.075,-0.12,0.115,0.005,-0.005,0.19,0.31,0.33,0.05,0.06
0.07,0.175,0.09,-0.125,0.125,-0.005,-0.01,0.165,0.265,0.28,0.03,0.025
0.085,0.16,0.06,-0.125,0.105,0.02,-0.015,0.14,0.235,0.265,0.03,0.03
0.065,0.14,0.065,-0.105,0.1,0.005,-0.045,0.125,0.195,0.21,-0.01,0.02
0.06,0.115,0.04,-0.09,0.07,0.015,-0.025,0.13,0.18,0.18,-0.01,0.01
0.055,0.12,0.05,-0.09,0.08,0.01,-0.005,0.115,0.15,0.14,-0.045,0.0
0.07,0.09,0.005,-0.08,0.04,0.04,-0.01,0.105,0.1,0.1,-0.065,-0.03
0.05,0.075,0.01,-0.065,0.035,0.025,-0.03,0.075,0.075,0.095,-0.08,-0.02
0.045,0.085,0.025,-0.065,0.05,0.015,-0.015,0.08,0.07,0.08,-0.08,-0.03
0.025,0.07,0.03,-0.05,0.045,0.005,0.005,0.07,0.05,0.06,-0.11,-0.02
0.045,0.04,-0.02,-0.045,0.005,0.04,-0.015,0.065,0.035,0.045,-0.12,-0.025
0.065,0.055,-0.025,-0.06,0.01,0.05,-0.035,0.055,0.0,0.03,-0.13,-0.05
0.045,0.03,-0.03,-0.04,-0.005,0.045,-0.02,0.05,-0.01,0.02,-0.16,-0.035
0.045,0.025,-0.035,-0.035,-0.01,0.05,0.0,0.045,-0.005,0.01,-0.14,-0.04
0.025,0.02,-0.02,-0.025,-0.005,0.03,0.0,0.04,0.01,0.0,-0.15,-0.045
0.04,0.015,-0.04,-0.03,-0.02,0.05,-0.02,0.04,-0.015,-0.03,-0.16,-0.07
0.06,0.01,-0.065,-0.035,-0.035,0.07,-0.02,0.02,-0.025,-0.015,-0.185,-0.075
0.035,0.025,-0.025,-0.03,-0.005,0.04,-0.015,0.02,-0.05,-0.02,-0.17,-0.055
0.015,0.005,-0.025,-0.015,-0.015,0.03,-0.02,0.035,-0.035,-0.03,-0.17,-0.06
0.015,0.005,-0.025,-0.015,-0.015,0.03,-0.02,0.03,-0.04,-0.035,-0.19,-0.04
0.015,0.0,-0.03,-0.01,-0.02,0.03,-0.02,0.03,-0.045,-0.035,-0.19,-0.06
0.035,0.0,-0.05,-0.02,-0.03,0.05,-0.02,0.01,-0.065,-0.035,-0.17,-0.08
0.035,0.02,-0.03,-0.03,-0.01,0.04,-0.02,0.03,-0.065,-0.02,-0.19,-0.055
0.035,0.02,-0.03,-0.03,-0.01,0.04,-0.02,0.03,-0.065,-0.04,-0.195,-0.08
0.035,0.0,-0.05,-0.02,-0.03,0.05,-0.02,0.03,-0.065,-0.065,-0.22,-0.1
0.035,0.0,-0.05,-0.02,-0.03,0.05,0.0,0.03,-0.07,-0.09,-0.225,-0.085
0.035,0.0,-0.05,-0.02,-0.03,0.05,-0.02,0.03,-0.05,-0.07,-0.225,-0.09
0.04,0.0,-0.055,-0.02,-0.035,0.055,-0.025,0.01,-0.05,-0.065,-0.22,-0.09
0.02,0.0,-0.035,-0.015,-0.025,0.035,-0.005,0.03,-0.05,-0.065,-0.18,-0.065
0.035,0.02,-0.03,-0.03,-0.01,0.04,0.015,0.03,-0.05,-0.07,-0.2,-0.065
0.035,0.0,-0.05,-0.02,-0.03,0.05,-0.02,0.03,-0.065,-0.065,-0.24,-0.085
0.035,-0.005,-0.055,-0.02,-0.035,0.055,-0.02,0.01,-0.065,-0.07,-0.22,-0.085
0.015,-0.005,-0.035,-0.01,-0.025,0.035,-0.02,0.01,-0.065,-0.09,-0.2,-0.065
0.015,-0.005,-0.035,-0.01,-0.025,0.035,-0.02,0.01,-0.065,-0.07,-0.18,-0.065
0.015,-0.005,-0.035,-0.01,-0.025,0.035,0.0,0.03,-0.045,-0.05,-0.175,-0.04
0.035,0.015,-0.035,-0.025,-0.015,0.045,-0.02,0.01,-0.07,-0.07,-0.195,-0.06
0.06,-0.005,-0.08,-0.03,-0.05,0.08,-0.025,0.03,-0.07,-0.07,-0.215,-0.06
0.035,-0.005,-0.055,-0.02,-0.035,0.055,-0.025,0.03,-0.05,-0.07,-0.195,-0.06
0.035,0.015,-0.035,-0.025,-0.015,0.045,-0.02,0.03,-0.045,-0.065,-0.195,-0.045
0.015,-0.005,-0.035,-0.01,-0.025,0.035,-0.02,0.035,-0.04,-0.065,-0.2,-0.025
0.015,-0.005,-0.035,-0.01,-0.025,0.035,-0.02,0.03,-0.04,-0.04,-0.2,-0.045
0.035,0.015,-0.035,-0.025,-0.015,0.045,-0.02,0.015,-0.06,-0.045,-0.215,-0.06
0.015,-0.005,-0.035,-0.01,-0.025,0.035,-0.02,0.01,-0.06,-0.045,-0.195,-0.04
0.035,0.015,-0.035,-0.025,-0.015,0.045,-0.02,0.015,-0.06,-0.065,-0.215,-0.04
0.045,0.01,-0.05,-0.03,-0.025,0.055,-0.02,0.04,-0.05,-0.06,-0.22,-0.04
0.025,-0.01,-0.05,-0.01,-0.035,0.045,-0.02,0.02,-0.05,-0.06,-0.22,-0.02
0.035,-0.01,-0.06,-0.015,-0.04,0.055,-0.01,0.02,-0.045,-0.05,-0.215,-0.035
0.035,-0.02,-0.07,-0.01,-0.05,0.06,-0.01,0.03,-0.045,-0.04,-0.21,-0.04
0.04,-0.025,-0.08,-0.01,-0.06,0.07,-0.02,0.03,-0.05,-0.04,-0.21,-0.035
0.035,-0.025,-0.075,-0.01,-0.055,0.065,-0.02,0.035,-0.045,-0.04,-0.21,-0.035
0.04,-0.02,-0.075,-0.015,-0.055,0.065,-0.02,0.035,-0.045,-0.05,-0.22,-0.04
0.04,-0.01,-0.065,-0.02,-0.045,0.06,-0.02,0.035,-0.045,-0.055,-0.23,-0.05
0.04,-0.01,-0.065,-0.02,-0.045,0.06,-0.01,0.035,-0.05,-0.06,-0.22,-0.03
0.035,-0.01,-0.06,-0.015,-0.04,0.055,-0.01,0.035,-0.05,-0.06,-0.2,-0.01
0.035,-0.01,-0.06,-0.015,-0.04,0.055,-0.01,0.035,-0.05,-0.06,-0.195,0.0
0.04,-0.01,-0.065,-0.02,-0.045,0.06,-0.02,0.03,-0.05,-0.06,-0.2,-0.015
0.045,-0.01,-0.07,-0.02,-0.045,0.065,-0.02,0.02,-0.05,-0.06,-0.22,-0.02
0.045,-0.01,-0.07,-0.02,-0.045,0.065,-0.02,0.02,-0.05,-0.06,-0.235,-0.015
0.045,-0.01,-0.07,-0.02,-0.045,0.065,-0.02,0.02,-0.05,-0.06,-0.24,-0.015
0.045,-0.01,-0.07,-0.02,-0.045,0.065,-0.02,0.02,-0.045,-0.06,-0.24,-0.01
0.045,-0.01,-0.07,-0.02,-0.045,0.065,-0.02,0.02,-0.045,-0.055,-0.235,0.0
0.04,-0.02,-0.075,-0.015,-0.055,0.065,-0.025,0.03,-0.045,-0.05,-0.22,0.01
0.04,-0.025,-0.08,-0.01,-0.06,0.07,-0.025,0.035,-0.05,-0.04,-0.21,0.02
0.045,-0.03,-0.09,-0.01,-0.065,0.075,-0.025,0.035,-0.05,-0.05,-0.2,0.02
0.045,-0.03,-0.09,-0.01,-0.065,0.075,-0.01,0.035,-0.05,-0.05,-0.2,0.02
0.045,-0.03,-0.09,-0.01,-0.065,0.075,-0.01,0.03,-0.06,-0.05,-0.21,0.02
0.04,-0.03,-0.085,-0.01,-0.065,0.07,-0.02,0.03,-0.065,-0.05,-0.23,0.01
0.045,-0.03,-0.09,-0.01,-0.065,0.075,-0.03,0.015,-0.065,-0.06,-0.25,0.005
0.045,-0.03,-0.09,-0.01,-0.065,0.075,-0.05,0.01,-0.06,-0.08,-0.26,0.0
0.045,-0.03,-0.09,-0.01,-0.065,0.075,-0.05,0.01,-0.05,-0.095,-0.255,0.005
0.055,-0.03,-0.1,-0.015,-0.07,0.085,-0.04,0.015,-0.06,-0.095,-0.24,0.02
0.055,-0.03,-0.1,-0.015,-0.07,0.085,-0.025,0.03,-0.065,-0.09,-0.235,0.03
0.055,-0.03,-0.1,-0.015,-0.07,0.085,-0.025,0.03,-0.08,-0.08,-0.24,0.04
0.045,-0.03,-0.09,-0.01,-0.065,0.075,-0.025,0.03,-0.08,-0.075,-0.25,0.04
0.045,-0.03,-0.09,-0.01,-0.065,0.075,-0.025,0.02,-0.08,-0.075,-0.255,0.04
0.04,-0.04,-0.095,-0.005,-0.075,0.075,-0.025,0.02,-0.07,-0.07,-0.26,0.04
0.04,-0.045,-0.1,0.0,-0.08,0.08,-0.025,0.02,-0.08,-0.07,-0.275,0.03
0.04,-0.05,-0.105,0.0,-0.085,0.08,-0.025,0.015,-0.085,-0.06,-0.27,0.04
0.045,-0.045,-0.105,-0.005,-0.08,0.085,-0.02,0.01,-0.085,-0.07,-0.255,0.045
0.045,-0.04,-0.1,-0.005,-0.075,0.08,-0.025,0.0,-0.085,-0.075,-0.24,0.065
0.045,-0.03,-0.09,-0.01,-0.065,0.075,-0.04,0.0,-0.085,-0.08,-0.24,0.07
0.045,-0.04,-0.1,-0.005,-0.075,0.08,-0.05,0.0,-0.09,-0.08,-0.25,0.07
0.045,-0.045,-0.105,-0.005,-0.08,0.085,-0.05,0.0,-0.09,-0.08,-0.26,0.065
0.045,-0.045,-0.105,-0.005,-0.08,0.085,-0.04,0.0,-0.085,-0.08,-0.275,0.06
0.04,-0.045,-0.1,0.0,-0.08,0.08,-0.03,0.01,-0.08,-0.08,-0.275,0.065
0.04,-0.045,-0.1,0.0,-0.08,0.08,-0.03,0.015,-0.08,-0.08,-0.27,0.07
0.04,-0.05,-0.105,0.0,-0.085,0.08,-0.03,0.02,-0.08,-0.08,-0.26,0.09
0.045,-0.06,-0.12,0.005,-0.095,0.09,-0.03,0.015,-0.08,-0.08,-0.26,0.1
0.04,-0.065,-0.12,0.01,-0.1,0.09,-0.03,0.01,-0.08,-0.08,-0.26,0.115
0.04,-0.05,-0.105,0.0,-0.085,0.08,-0.04,0.01,-0.045,-0.035,-0.285,0.1
0.045,-0.055,-0.115,0.0,-0.09,0.09,-0.045,-0.005,-0.11,-0.085,-0.285,0.095
0.065,-0.035,-0.115,-0.02,-0.08,0.1,-0.045,-0.005,-0.11,-0.085,-0.285,0.095
0.045,-0.035,-0.095,-0.01,-0.07,0.08,-0.05,-0.005,-0.09,-0.085,-0.285,0.115
0.025,-0.055,-0.095,0.01,-0.08,0.07,-0.07,-0.005,-0.095,-0.07,-0.27,0.11
0.045,-0.06,-0.12,0.005,-0.095,0.09,-0.05,-0.005,-0.115,-0.07,-0.285,0.115
0.065,-0.04,-0.12,-0.015,-0.085,0.1,-0.05,-0.005,-0.095,-0.07,-0.27,0.135
0.045,-0.04,-0.1,-0.005,-0.075,0.08,-0.05,-0.01,-0.095,-0.09,-0.285,0.115
0.045,-0.06,-0.12,0.005,-0.095,0.09,-0.07,-0.01,-0.075,-0.09,-0.285,0.135
0.025,-0.06,-0.1,0.015,-0.085,0.07,-0.03,0.01,-0.095,-0.095,-0.285,0.135
0.045,-0.065,-0.125,0.005,-0.1,0.095,-0.03,-0.01,-0.115,-0.115,-0.285,0.135
0.045,-0.08,-0.14,0.015,-0.115,0.1,-0.05,-0.01,-0.12,-0.13,-0.27,0.15
0.005,-0.085,-0.105,0.035,-0.1,0.065,-0.055,0.01,-0.1,-0.09,-0.27,0.17
0.045,-0.065,-0.125,0.005,-0.1,0.095,-0.055,-0.01,-0.1,-0.09,-0.285,0.155
0.065,-0.07,-0.15,0.0,-0.115,0.115,-0.03,-0.01,-0.1,-0.11,-0.31,0.155
0.045,-0.07,-0.13,0.01,-0.105,0.095,-0.05,-0.01,-0.1,-0.11,-0.285,0.16
0.045,-0.07,-0.13,0.01,-0.105,0.095,-0.05,-0.01,-0.12,-0.115,-0.315,0.16
0.045,-0.065,-0.125,0.005,-0.1,0.095,-0.05,-0.01,-0.12,-0.115,-0.295,0.2
0.065,-0.065,-0.14,-0.005,-0.11,0.115,-0.05,-0.01,-0.115,-0.11,-0.315,0.18
0.045,-0.06,-0.12,0.005,-0.095,0.09,-0.045,-0.01,-0.115,-0.125,-0.33,0.18
0.065,-0.055,-0.135,-0.01,-0.1,0.11,-0.065,-0.01,-0.11,-0.125,-0.325,0.16
0.07,-0.045,-0.13,-0.015,-0.095,0.11,-0.045,-0.005,-0.09,-0.1,-0.28,0.185
0.055,-0.035,-0.105,-0.015,-0.075,0.09,-0.045,-0.005,-0.085,-0.095,-0.275,0.19
0.055,-0.025,-0.095,-0.02,-0.065,0.085,-0.065,-0.005,-0.1,-0.085,-0.27,0.22
0.06,-0.015,-0.09,-0.025,-0.06,0.085,-0.05,-0.01,-0.09,-0.08,-0.26,0.265
0.06,-0.01,-0.085,-0.025,-0.055,0.08,-0.05,-0.01,-0.09,-0.075,-0.24,0.25
0.06,0.0,-0.075,-0.03,-0.045,0.075,-0.05,0.005,-0.065,-0.095,-0.24,0.255
0.085,0.01,-0.09,-0.05,-0.045,0.095,-0.055,-0.015,-0.1,-0.095,-0.235,0.275
0.085,0.02,-0.08,-0.055,-0.035,0.09,-0.055,-0.035,-0.1,-0.11,-0.25,0.28
0.065,0.025,-0.055,-0.045,-0.02,0.07,-0.05,-0.02,-0.07,-0.09,-0.245,0.28
0.06,0.04,-0.035,-0.05,-0.005,0.055,-0.045,-0.02,-0.065,-0.065,-0.24,0.285
0.06,0.07,-0.005,-0.065,0.025,0.04,-0.045,0.0,-0.055,-0.055,-0.275,0.27
0.065,0.06,-0.02,-0.065,0.015,0.05,-0.05,-0.005,-0.015,-0.05,-0.27,0.275
0.085,0.07,-0.03,-0.08,0.015,0.065,-0.035,-0.03,-0.03,-0.05,-0.25,0.26
0.09,0.08,-0.025,-0.085,0.02,0.065,-0.06,-0.015,-0.03,-0.045,-0.225,0.31
0.07,0.095,0.01,-0.085,0.045,0.035,-0.065,-0.02,-0.025,-0.06,-0.215,0.335
0.095,0.12,0.01,-0.11,0.06,0.05,-0.075,-0.03,-0.02,-0.05,-0.225,0.345
0.105,0.14,0.02,-0.125,0.075,0.05,-0.085,-0.03,-0.01,-0.02,-0.215,0.375
0.11,0.155,0.03,-0.135,0.085,0.045,-0.095,-0.05,-0.02,-0.01,-0.205,0.365
0.115,0.185,0.055,-0.15,0.115,0.035,-0.11,-0.035,-0.02,-0.005,-0.18,0.37
0.12,0.17,0.035,-0.14,0.095,0.05,-0.105,-0.045,-0.02,-0.005,-0.175,0.39
0.115,0.17,0.04,-0.14,0.1,0.045,-0.14,-0.05,-0.03,0.01,-0.18,0.39
0.115,0.185,0.055,-0.15,0.115,0.035,-0.15,-0.06,-0.015,0.005,-0.185,0.41
0.11,0.18,0.055,-0.14,0.11,0.035,-0.155,-0.065,-0.025,-0.02,-0.205,0.405
0.09,0.17,0.065,-0.13,0.11,0.02,-0.155,-0.085,-0.035,-0.03,-0.21,0.405
0.11,0.16,0.035,-0.135,0.09,0.045,-0.175,-0.085,-0.06,-0.055,-0.215,0.4
0.115,0.15,0.02,-0.135,0.08,0.055,-0.175,-0.065,-0.05,-0.065,-0.2,0.42
0.115,0.14,0.01,-0.13,0.07,0.06,-0.17,-0.085,-0.055,-0.07,-0.225,0.395
0.115,0.105,-0.025,-0.11,0.035,0.075,-0.165,-0.1,-0.065,-0.075,-0.235,0.385
0.115,0.08,-0.05,-0.1,0.01,0.09,-0.155,-0.075,-0.07,-0.06,-0.22,0.4
0.11,0.08,-0.045,-0.095,0.01,0.085,-0.125,-0.07,-0.075,-0.085,-0.23,0.39
0.1,0.055,-0.06,-0.08,-0.01,0.085,-0.135,-0.07,-0.08,-0.09,-0.26,0.4
0.095,0.035,-0.075,-0.065,-0.025,0.09,-0.105,-0.07,-0.085,-0.1,-0.25,0.39
0.065,0.05,-0.03,-0.06,0.005,0.055,-0.1,-0.085,-0.095,-0.09,-0.26,0.38
0.055,-0.01,-0.08,-0.025,-0.05,0.075,-0.085,-0.06,-0.1,-0.12,-0.27,0.365
0.065,-0.06,-0.14,-0.005,-0.105,0.11,-0.09,-0.05,-0.125,-0.13,-0.28,0.355
0.045,-0.06,-0.12,0.005,-0.095,0.09,-0.085,-0.045,-0.13,-0.135,-0.295,0.34
0.045,-0.075,-0.135,0.01,-0.11,0.1,-0.085,-0.06,-0.135,-0.12,-0.305,0.355
0.045,-0.105,-0.165,0.025,-0.14,0.115,-0.08,-0.04,-0.125,-0.125,-0.31,0.35
0.045,-0.115,-0.175,0.03,-0.15,0.12,-0.06,-0.04,-0.13,-0.13,-0.315,0.345
0.045,-0.105,-0.165,0.025,-0.14,0.115,-0.06,-0.06,-0.155,-0.155,-0.32,0.34
0.065,-0.11,-0.19,0.02,-0.155,0.135,-0.06,-0.06,-0.18,-0.185,-0.33,0.335
0.065,-0.14,-0.22,0.035,-0.185,0.15,-0.06,-0.04,-0.165,-0.17,-0.315,0.35
0.065,-0.14,-0.225,0.035,-0.19,0.155,-0.06,-0.055,-0.15,-0.15,-0.315,0.35
0.045,-0.13,-0.19,0.04,-0.165,0.125,-0.06,-0.035,-0.17,-0.175,-0.315,0.365
0.045,-0.135,-0.195,0.04,-0.17,0.13,-0.06,-0.035,-0.17,-0.2,-0.34,0.345
0.065,-0.14,-0.22,0.035,-0.185,0.15,-0.06,-0.055,-0.175,-0.2,-0.36,0.32
0.065,-0.14,-0.225,0.035,-0.19,0.155,-0.06,-0.055,-0.175,-0.2,-0.36,0.34
0.045,-0.15,-0.21,0.05,-0.185,0.135,-0.06,-0.055,-0.18,-0.2,-0.36,0.34
0.045,-0.15,-0.21,0.05,-0.185,0.135,-0.06,-0.035,-0.16,-0.18,-0.34,0.34
0.065,-0.17,-0.25,0.05,-0.215,0.165,-0.06,-0.05,-0.18,-0.18,-0.325,0.34
0.065,-0.17,-0.25,0.05,-0.215,0.165,-0.055,-0.05,-0.18,-0.18,-0.345,0.36
0.045,-0.17,-0.23,0.06,-0.205,0.14,-0.035,-0.05,-0.175,-0.18,-0.325,0.36
0.045,-0.155,-0.215,0.05,-0.19,0.14,-0.055,-0.045,-0.175,-0.18,-0.325,0.38
0.045,-0.16,-0.22,0.055,-0.195,0.14,-0.035,-0.025,-0.15,-0.18,-0.325,0.38
0.045,-0.18,-0.24,0.065,-0.215,0.15,-0.03,-0.025,-0.15,-0.185,-0.32,0.36
0.045,-0.18,-0.24,0.065,-0.215,0.15,-0.03,-0.025,-0.17,-0.185,-0.34,0.36
0.065,-0.18,-0.26,0.055,-0.225,0.17,-0.045,-0.04,-0.17,-0.185,-0.34,0.38
0.045,-0.18,-0.24,0.065,-0.215,0.15,-0.025,-0.02,-0.17,-0.18,-0.3,0.4
0.045,-0.18,-0.24,0.065,-0.215,0.15,-0.025,-0.02,-0.15,-0.18,-0.28,0.4
0.065,-0.155,-0.235,0.04,-0.2,0.16,-0.045,-0.04,-0.165,-0.195,-0.32,0.38
0.065,-0.155,-0.235,0.04,-0.2,0.16,-0.025,-0.02,-0.165,-0.175,-0.335,0.38
0.065,-0.175,-0.255,0.05,-0.22,0.17,-0.04,-0.02,-0.165,-0.175,-0.335,0.38
0.065,-0.175,-0.255,0.05,-0.22,0.17,-0.02,-0.015,-0.16,-0.175,-0.315,0.4
0.065,-0.17,-0.25,0.05,-0.215,0.165,-0.02,-0.015,-0.16,-0.175,-0.295,0.38
0.065,-0.19,-0.27,0.06,-0.235,0.175,0.005,-0.01,-0.135,-0.17,-0.295,0.4
0.065,-0.17,-0.25,0.05,-0.215,0.165,-0.025,-0.025,-0.14,-0.18,-0.31,0.405
0.065,-0.17,-0.25,0.05,-0.215,0.165,-0.015,-0.025,-0.14,-0.17,-0.305,0.405
0.065,-0.185,-0.265,0.055,-0.23,0.175,0.005,0.005,-0.12,-0.165,-0.28,0.43
0.07,-0.175,-0.26,0.05,-0.225,0.175,0.04,0.06,-0.04,-0.12,-0.26,0.435
0.06,-0.155,-0.23,0.045,-0.2,0.155,0.065,0.12,0.08,-0.04,-0.225,0.435
0.085,-0.115,-0.215,0.01,-0.17,0.16,0.095,0.21,0.19,0.06,-0.21,0.445
0.1,-0.075,-0.19,-0.015,-0.14,0.155,0.11,0.225,0.3,0.195,-0.125,0.495
0.115,0.015,-0.115,-0.065,-0.055,0.125,0.055,0.205,0.435,0.35,0.0,0.585
0.135,0.125,-0.025,-0.13,0.045,0.085,-0.01,0.16,0.525,0.52,0.14,0.69
0.155,0.21,0.04,-0.185,0.12,0.065,-0.095,0.1,0.575,0.695,0.28,0.78
0.2,0.285,0.075,-0.245,0.175,0.07,-0.185,0.035,0.585,0.855,0.41,0.865
0.22,0.36,0.125,-0.285,0.235,0.055,-0.265,-0.02,0.55,0.985,0.56,0.95
0.22,0.385,0.15,-0.305,0.26,0.04,-0.33,-0.105,0.475,1.115,0.68,1.03
0.215,0.435,0.205,-0.325,0.315,0.01,-0.42,-0.205,0.41,1.27,0.765,1.085
0.245,0.5,0.24,-0.375,0.365,0.01,-0.525,-0.35,0.335,1.36,0.855,1.145
0.25,0.565,0.305,-0.41,0.43,-0.02,-0.62,-0.48,0.215,1.435,0.94,1.215
0.255,0.6,0.33,-0.43,0.46,-0.03,-0.67,-0.55,0.14,1.49,0.995,1.26
0.245,0.57,0.315,-0.41,0.44,-0.03,-0.7,-0.61,0.08,1.51,0.99,1.27
0.235,0.54,0.285,-0.39,0.41,-0.02,-0.75,-0.635,0.035,1.455,0.91,1.23
0.215,0.505,0.275,-0.36,0.385,-0.025,-0.76,-0.66,-0.015,1.285,0.805,1.135
0.195,0.405,0.195,-0.3,0.295,0.005,-0.785,-0.71,-0.085,1.01,0.565,1.02
0.165,0.215,0.035,-0.19,0.12,0.07,-0.755,-0.68,-0.17,0.565,0.225,0.82
0.135,0.05,-0.1,-0.095,-0.03,0.125,-0.715,-0.685,-0.325,0.135,-0.065,0.655
0.11,-0.03,-0.155,-0.04,-0.1,0.14,-0.695,-0.735,-0.545,-0.22,-0.26,0.55
0.085,-0.1,-0.2,0.005,-0.155,0.15,-0.67,-0.775,-0.735,-0.47,-0.35,0.48
0.07,-0.13,-0.215,0.025,-0.18,0.15,-0.62,-0.785,-0.895,-0.62,-0.415,0.435
0.065,-0.165,-0.245,0.045,-0.21,0.165,-0.595,-0.765,-0.955,-0.645,-0.45,0.43
0.06,-0.175,-0.25,0.055,-0.22,0.165,-0.51,-0.71,-0.945,-0.665,-0.465,0.435
0.075,-0.18,-0.27,0.05,-0.23,0.18,-0.465,-0.67,-0.89,-0.635,-0.455,0.43
0.035,-0.17,-0.22,0.065,-0.2,0.135,-0.39,-0.605,-0.81,-0.61,-0.42,0.415
0.035,-0.17,-0.22,0.065,-0.2,0.135,-0.345,-0.545,-0.715,-0.535,-0.395,0.425
0.055,-0.125,-0.195,0.03,-0.165,0.135,-0.32,-0.485,-0.62,-0.475,-0.365,0.46
0.055,-0.095,-0.165,0.015,-0.135,0.12,-0.3,-0.43,-0.51,-0.4,-0.315,0.49
0.06,-0.045,-0.12,-0.01,-0.09,0.1,-0.26,-0.37,-0.435,-0.355,-0.27,0.48
0.06,-0.03,-0.105,-0.02,-0.075,0.09,-0.22,-0.32,-0.375,-0.315,-0.25,0.53
0.06,-0.025,-0.1,-0.02,-0.07,0.09,-0.18,-0.265,-0.305,-0.26,-0.235,0.53
0.065,-0.015,-0.095,-0.025,-0.06,0.09,-0.14,-0.235,-0.265,-0.235,-0.205,0.53
0.085,-0.03,-0.13,-0.03,-0.085,0.115,-0.11,-0.175,-0.23,-0.215,-0.18,0.53
0.065,-0.05,-0.13,-0.01,-0.095,0.105,-0.065,-0.155,-0.205,-0.2,-0.175,0.525
0.065,-0.065,-0.14,-0.005,-0.11,0.115,-0.045,-0.1,-0.16,-0.165,-0.195,0.54
0.085,-0.08,-0.18,-0.005,-0.135,0.14,-0.045,-0.075,-0.14,-0.18,-0.175,0.535
0.085,-0.115,-0.215,0.01,-0.17,0.16,-0.015,-0.05,-0.125,-0.17,-0.155,0.535
0.09,-0.125,-0.23,0.015,-0.185,0.17,-0.005,-0.035,-0.135,-0.165,-0.155,0.53
0.09,-0.13,-0.235,0.015,-0.19,0.17,0.025,-0.02,-0.105,-0.16,-0.15,0.53
0.085,-0.135,-0.235,0.02,-0.19,0.17,0.015,-0.03,-0.12,-0.135,-0.17,0.53
